id,name,category,one_liner,auth_methods,gating_type,api_surface,mcp_status,buildability_verdict,main_blocker,evidence_url,easy_win_score
11,Zendesk,2. Support and Helpdesk,Enterprise customer service and omnichannel ticketing platform.,"OAuth2, API Token (Basic Auth with user/token:api_key)",Self-Serve Free/Trial,"Huge REST API surface for Support Tickets, Users, Help Center (Guide), Chat, Talk, and Webhooks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.zendesk.com/api-reference/,9
12,Intercom,2. Support and Helpdesk,"Customer service AI platform with modern live chat, ticketing, and help center tools.","OAuth2, Access Token (Bearer token created in Developer Hub)",Self-Serve Free/Trial,"Modern REST API covering Conversations, Contacts, Articles, Tickets, Notes, and Canvas Apps.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.intercom.com/docs/references/rest-api/api.intercom.io/,10
13,Freshdesk,2. Support and Helpdesk,Cloud customer support software and ticket management solution by Freshworks.,"API Key (HTTP Basic Auth), OAuth2 (Freshworks Neo platform)",Self-Serve Free/Trial,"Complete REST API v2 for Tickets, Contacts, Companies, Solutions, and Webhooks.",Composio Native,Ready Today,None (Ready for Toolkit / MCP),https://developers.freshdesk.com/api/,10
14,Front,2. Support and Helpdesk,Customer operations platform combining shared inboxes with automated workflows.,"OAuth2, API Token (Bearer)",Self-Serve Free/Trial,"REST API v1.3 with complete coverage of Inboxes, Conversations, Messages, Channels, and Rule triggers.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://dev.frontapp.com/reference/introduction,9
15,Pylon,2. Support and Helpdesk,"B2B support platform managing customer requests across Slack, Microsoft Teams, and email.",API Key (Bearer / Secret Token),Paid Tier Gate,"Modern REST API covering Issues, Accounts, Slack Channels, Messages, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP - Requires paid workspace for live testing),https://docs.usepylon.com/pylon-docs/api-reference/overview,7
16,LiveAgent,2. Support and Helpdesk,"Omnichannel customer support software with live chat, call center, and help desk.",API Key (HTTP Header / Query param 'apikey'),Self-Serve Free/Trial,"REST API v3 with complete Swagger/OpenAPI definition for Tickets, Chats, Calls, and Customers.",None,Ready Today,None (Ready for Toolkit / MCP),https://api.liveagent.com/docs/v3/,9
17,Plain,2. Support and Helpdesk,API-first customer support platform built specifically for modern software and engineering teams.,API Key (Bearer Token),Self-Serve Free/Trial,"Cutting-edge GraphQL API and TypeScript SDK covering Threads, Customers, Events, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://plain.com/docs/graphql-api,10
18,Help Scout,2. Support and Helpdesk,Shared inbox and customer service platform for small and growing teams.,OAuth2 (Client Credentials & Authorization Code),Self-Serve Free/Trial,"REST API v2 covering Mailboxes, Conversations, Customers, Docs Knowledge Base, and Webhooks.",Composio Native,Ready Today,None (Ready for Toolkit / MCP),https://developer.helpscout.com/mailbox-api/,9
19,Gorgias,2. Support and Helpdesk,"Ecommerce-focused customer service helpdesk built for Shopify, BigCommerce, and Magento.","HTTP Basic Auth (User Email + API Key), OAuth2",Self-Serve Free/Trial,"Comprehensive REST API for Tickets, Messages, Customers, Satisfaction Surveys, and Macro triggers.",Composio Native,Ready Today,None (Ready for Toolkit / MCP),https://developers.gorgias.com/reference/introduction,9
20,Gladly,2. Support and Helpdesk,People-centered enterprise customer service platform for retail and luxury brands.,"API Token (HTTP Basic Auth), OAuth2",Enterprise/Sales Gate,"REST APIs covering People, Conversations, Tasks, Voice, and Webhooks.",None,Blocked: Enterprise Only,Requires enterprise customer instance; no self-serve public developer sandbox.,https://developer.gladly.com/rest/,3
21,Slack,3. Communications and Messaging,Enterprise channel-based messaging platform and collaborative workspace hub.,"OAuth2, Bot User Tokens (xoxb-), User Tokens (xoxp-)",Self-Serve Free/Trial,"Rich Web API (250+ methods), Events API (Webhooks), Socket Mode, and Bolt SDKs.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://api.slack.com/methods,10
22,Twilio,3. Communications and Messaging,"Cloud communications platform for programmable SMS, Voice, WhatsApp, and Video APIs.","HTTP Basic Auth (Account SID + Auth Token), API Key (Secret Key), JWT",Self-Serve Free/Trial,"Broad REST API surface covering Programmable Messaging, Voice, Verify, Lookup, and Serverless Functions.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://www.twilio.com/docs/usage/api,10
23,Zoho Cliq,3. Communications and Messaging,Team communication and business collaboration chat software by Zoho.,"OAuth2, Zoho Authtoken / User Token",Self-Serve Free/Trial,"REST API covering Channels, Direct Messages, Bots, Commands, Forms, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP),https://www.zoho.com/cliq/help/restapi/v2/,8
24,Lark (Larksuite),3. Communications and Messaging,"Enterprise enterprise collaboration suite integrating chat, docs, calendar, and workflows (by ByteDance).","Tenant Access Token (app_id + app_secret), User Access Token (OAuth2)",Self-Serve Free/Trial,"Extensive OpenAPI covering IM Messages, Bitable (Base), Calendar, Docs, and Approval workflows.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://open.larksuite.com/document/home/index,9
25,Pumble,3. Communications and Messaging,Affordable team messaging and collaboration app by Cake.com (Slack alternative).,"Bot Token (Bearer), API Key, OAuth2",Self-Serve Free/Trial,"REST API covering Channels, Messages, Users, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP),https://pumble.com/help/integrations/api/,8
26,Discord,3. Communications and Messaging,"Voice, video, and text communication platform for communities and gaming.","Bot Token, OAuth2, Webhook URL Token",Self-Serve Free/Trial,"Comprehensive REST API v10 and Gateway WebSocket API covering Channels, Messages, Guilds, and Interactions.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://discord.com/developers/docs/intro,10
27,Telegram,3. Communications and Messaging,Cloud-based mobile and desktop messaging app with extensive bot automation capabilities.,"Bot Token (obtained via @BotFather), MTProto API ID + API Hash",Self-Serve Free/Trial,"HTTPS Bot API with long-polling and webhooks covering Messages, Media, Inline queries, and Chats.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://core.telegram.org/bots/api,10
28,WhatsApp Business,3. Communications and Messaging,Enterprise messaging API for connecting businesses with over 2 billion WhatsApp users.,"OAuth2 (Meta Graph API), System User Permanent Access Token",Self-Serve Free/Trial,"Cloud API (Graph API) covering Template Messages, Media, Interactive buttons, and Webhook callbacks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - Production numbers require Meta Business Verification),https://developers.facebook.com/docs/whatsapp/cloud-api/overview,8
29,Aircall,3. Communications and Messaging,Cloud-based call center and phone system integrated with CRM and helpdesk software.,"API ID + API Token (HTTP Basic Auth), OAuth2",Paid Tier Gate,"REST API v1 covering Calls, Contacts, Numbers, Users, Teams, Webhooks, and Insights.",None,Ready Today,None (Ready for Toolkit / MCP - Requires paid workspace for live testing),https://developer.aircall.io/api-references/,8
30,Vonage,3. Communications and Messaging,"Communications platform as a service (CPaaS) for SMS, Voice, Video, and Verify APIs.","API Key + API Secret, JWT (Application ID + Private Key RSA)",Self-Serve Free/Trial,"Broad REST API suite covering SMS, Voice, Messages (WhatsApp/Viber/FB), Verify, and Video API.",None,Ready Today,None (Ready for Toolkit / MCP),https://developer.vonage.com/en/api,9
31,Google Ads,"4. Marketing, Ads, Email and Social","Online advertising platform for Google Search, YouTube, Display, and Performance Max campaigns.","OAuth2, Developer Token (Header: developer-token)",Partner Application Gate,"Comprehensive gRPC and REST APIs (v16+) covering Campaigns, Ad Groups, Bidding, Reporting, and Conversion adjustments.",Community MCP,Blocked: Partner Gate,Production developer token requires formal compliance review and approval from Google Ads API Center.,https://developers.google.com/google-ads/api/docs/first-call/overview,4
32,Meta Ads,"4. Marketing, Ads, Email and Social","Digital advertising platform for Instagram, Facebook, Messenger, and Audience Network campaigns.","OAuth2 (Meta Graph API), System User Access Token",Self-Serve Free/Trial,"Marketing API (Graph API) covering Ad Accounts, Campaigns, Ad Sets, Creatives, Custom Audiences, and Insights.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - Sandbox/Dev mode instant; App Review for production),https://developers.facebook.com/docs/marketing-api/overview,7
33,LinkedIn Ads,"4. Marketing, Ads, Email and Social","B2B advertising platform for sponsored content, message ads, and lead generation forms.",OAuth2 (Authorization Code Flow),Partner Application Gate,"REST APIs under /rest/ and /v2/ covering Campaign Management, Creatives, Analytics, and Lead Sync.",None,Blocked: Partner Gate,Requires Marketing Developer Platform partner application approval from LinkedIn.,https://learn.microsoft.com/en-us/linkedin/marketing/overview,4
34,GoHighLevel,"4. Marketing, Ads, Email and Social",All-in-one sales and marketing CRM platform for digital agencies and SaaS resellers.,"OAuth2 (GHL Marketplace App), Location / Agency API Key (Legacy/Private)",Self-Serve Free/Trial,"HighLevel REST API v2 covering Contacts, Calendars, Pipelines, Conversations, Courses, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://highlevel.stoplight.io/docs/integrations/,9
35,Mailchimp,"4. Marketing, Ads, Email and Social",Marketing automation and email marketing platform for newsletters and audience campaigns.,"OAuth2, API Key (Key ending in -dc datacenter prefix)",Self-Serve Free/Trial,"Comprehensive REST API v3 for Lists (Audiences), Campaigns, Automations, Reports, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://mailchimp.com/developer/marketing/api/,10
36,Klaviyo,"4. Marketing, Ads, Email and Social",Intelligent marketing automation and customer data platform for ecommerce brands.,"API Key (Private API Key - pk_ prefix), OAuth2 (PKCE)",Self-Serve Free/Trial,"Modern REST API (JSON:API compliant) covering Profiles, Events, Flows, Campaigns, Segments, and Catalogs.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.klaviyo.com/en/reference/api_overview,10
37,systeme.io,"4. Marketing, Ads, Email and Social","All-in-one marketing platform for sales funnels, email marketing, online courses, and affiliate management.",API Key (Header: 'X-API-Key'),Self-Serve Free/Trial,"REST API covering Contacts, Tags, Courses, Students, Payments, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP),https://systeme.io/api-documentation,10
38,Pinterest,"4. Marketing, Ads, Email and Social","Visual discovery engine for finding inspiration, recipes, home ideas, and product marketing.",OAuth2 (Authorization Code Flow),Self-Serve Free/Trial,"REST API v5 covering Pins, Boards, Media, Analytics, Ad Accounts, Campaigns, and Conversions.",None,Ready Today,None (Ready for Toolkit / MCP - Trial tier instant),https://developers.pinterest.com/docs/api/v5/,8
39,Threads (Meta),"4. Marketing, Ads, Email and Social",Text-based social conversation platform built by the Instagram team at Meta.,OAuth2 (Instagram/Threads Graph API),Self-Serve Free/Trial,"Threads API (Graph API) covering Post publishing (text, images, video), Replies management, Insights, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.facebook.com/docs/threads/overview,9
40,SendGrid,"4. Marketing, Ads, Email and Social",Cloud-based transactional and marketing email delivery infrastructure by Twilio.,API Key (Bearer SG.xxx token),Self-Serve Free/Trial,"REST API v3 for Mail Send, Marketing Contacts, Sender Verification, Stats, and Event Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.sendgrid.com/api-reference/how-to-use-the-sendgrid-v3-api/authentication,10
41,Shopify,5. Ecommerce,Global multi-channel commerce platform empowering online and retail businesses.,"OAuth2 (Shopify App), Admin API Access Token",Self-Serve Free/Trial,"Extensive GraphQL Admin API and REST Admin API covering Products, Orders, Customers, Inventory, and Webhooks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://shopify.dev/docs/api/admin-graphql,10
42,WooCommerce,5. Ecommerce,"Open-source, customizable ecommerce platform built on WordPress.","Consumer Key & Consumer Secret (HTTP Basic Auth / Query Params), OAuth1.0a",Self-Serve Free/Trial,"Complete REST API v3 covering Products, Orders, Customers, Coupons, Reports, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://woocommerce.github.io/woocommerce-rest-api-docs/,10
43,BigCommerce,5. Ecommerce,Enterprise SaaS ecommerce platform with open APIs for headless commerce and storefronts.,"API Token (Headers: X-Auth-Token, X-Auth-Client), OAuth2",Self-Serve Free/Trial,"Broad REST API v3 and GraphQL Storefront API covering Catalog, Orders, Customers, Carts, and Checkouts.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.bigcommerce.com/docs/rest-management,9
44,Salesforce Commerce Cloud,5. Ecommerce,Enterprise B2C and B2B digital commerce platform (formerly Demandware).,"OAuth2 (Shopper Login and API Access Service - SLAS), Account Manager OAuth",Enterprise/Sales Gate,Salesforce Commerce API (SCAPI) and Open Commerce API (OCAPI) for B2C Shopper and Admin functions.,None,Blocked: Enterprise Only,Requires Salesforce Account Manager enterprise tenant credentials; no self-serve sandbox.,https://developer.salesforce.com/docs/commerce/commerce-api/overview,2
45,Magento (Adobe Commerce),5. Ecommerce,"Flexible, enterprise-grade open-source ecommerce platform by Adobe.","Bearer Token (Admin/Customer token), OAuth 1.0a, API Key",Self-Serve Free/Trial,"Comprehensive REST APIs and GraphQL APIs covering Catalog, Carts, Orders, Inventory, and Customer management.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.adobe.com/commerce/webapi/get-started/,9
46,Squarespace,5. Ecommerce,Website builder and ecommerce platform for creative businesses and stores.,"API Key (Bearer token), OAuth2",Paid Tier Gate,"REST APIs for Orders, Inventory, Products, Transactions, Profiles, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP - Requires Commerce Advanced subscription),https://developers.squarespace.com/commerce-apis/overview,7
47,Ecwid,5. Ecommerce,Embeddable ecommerce widget and shopping cart by Lightspeed.,OAuth2 (Secret Token),Self-Serve Free/Trial,"REST API v3 for Products, Categories, Orders, Customers, Discounts, and Webhooks.",None,Ready Today,None (Ready for Toolkit / MCP),https://api-docs.ecwid.com/reference/overview,9
48,Gumroad,5. Ecommerce,"E-commerce platform for creators to sell digital products, courses, and memberships.","OAuth2, Access Token (Bearer token generated in Settings -> Advanced)",Self-Serve Free/Trial,"REST API covering Products, Sales, Offer Codes, Custom Fields, Licenses, and Webhooks (Ping).",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://gumroad.com/api,10
49,Amazon Selling Partner,5. Ecommerce,"Suite of REST APIs for Amazon sellers and vendors to manage listings, orders, and fulfillment.",AWS Signature Version 4 (SigV4) + LWA (Login with Amazon) OAuth2,Partner Application Gate,"Huge REST API surface (SP-API) covering Orders, Reports, Feeds, Listings Items, FBA, and Notifications.",Community MCP,Blocked: Partner Gate,Requires Amazon Developer Profile approval and complex AWS SigV4 / LWA authentication handshake.,https://developer-docs.amazon.com/sp-api/docs/what-is-the-selling-partner-api,4
50,fanbasis,5. Ecommerce,"Celebrity and creator marketplace for booking custom video shoutouts, experiences, and brand partnerships.",Session Cookie / Internal GraphQL (No public developer API),Enterprise/Sales Gate,Private internal web APIs only; no public documentation.,None,Blocked: No Public API,No documented public developer API or self-serve credentials available.,https://fanbasis.com,1
51,DataForSEO,"6. Data, SEO and Scraping","Comprehensive programmatic data API provider for SEO, SERP, Backlinks, and Keyword research.",HTTP Basic Auth (Login email + API Password/Key),Self-Serve Free/Trial,"High-volume REST API covering Google/Bing SERP, Keyword Data, On-Page, Backlinks, Merchant, and Business Data.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.dataforseo.com/v3/,10
52,SE Ranking,"6. Data, SEO and Scraping","All-in-one SEO analysis, keyword rank tracking, and competitor research software.",API Token (Header: 'Authorization: Token xxx'),Paid Tier Gate,"REST API covering Rank Tracking, Competitor Research, Keyword Research, and Site Audit.",None,Ready Today,None (Ready for Toolkit / MCP - Requires Pro/Business subscription),https://seranking.com/api.html,7
53,Ahrefs,"6. Data, SEO and Scraping","Industry-leading SEO suite for backlink analysis, keyword explorer, and content research.",API Key (Bearer Token),Paid Tier Gate,"REST API v3 for Site Explorer (Backlinks, RefDomains, Organic Search), Keywords Explorer, and SERP Overview.",Community MCP,Ready Today,None (Ready for Toolkit / MCP - High unit pricing / Enterprise add-on),https://ahrefs.com/api/documentation,7
54,MrScraper,"6. Data, SEO and Scraping",Visual web scraper and automated data extraction tool.,API Key (Bearer Token),Self-Serve Free/Trial,"REST API for triggering scraper runs, retrieving results, and webhook callbacks.",None,Ready Today,None (Ready for Toolkit / MCP),https://docs.mrscraper.com/,9
55,Apify,"6. Data, SEO and Scraping",Full-stack cloud web scraping and data extraction platform with a marketplace of Actors.,API Token (Bearer / Query param 'token'),Self-Serve Free/Trial,"Extensive REST API and JS/Python SDKs for running Actors, managing Datasets, Key-Value stores, and Webhooks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.apify.com/api/v2,10
56,Firecrawl,"6. Data, SEO and Scraping","Turn entire websites into clean, LLM-ready markdown or structured data via a single API.",API Key (Bearer fc-...),Self-Serve Free/Trial,"Clean REST API v1 for Scrape, Crawl, Map, and Extract endpoints with Python/Node SDKs.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.firecrawl.dev/api-reference/introduction,10
57,Bright Data,"6. Data, SEO and Scraping","Enterprise proxy network, web unlocker, and pre-built dataset scraping infrastructure.","API Token (Bearer), Zone Username & Password",Self-Serve Free/Trial,"REST API for Web Unlocker, Scraping Browser (Puppeteer/Playwright CDP), and Datasets API.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.brightdata.com/api-reference,9
58,Sherlock,"6. Data, SEO and Scraping",Open-source OSINT CLI tool to hunt down social media accounts by username across 400+ platforms.,No Auth (Open Source Python CLI / Docker / Subprocess),Self-Serve Free/Trial,Python CLI and package (`pip install sherlock-project`) callable via shell or container.,Community MCP,Ready Today,None (Ready for Toolkit / MCP - Runs as a local/containerized CLI tool),https://github.com/sherlock-project/sherlock,10
59,Waterfall.io,"6. Data, SEO and Scraping",Waterfall enrichment engine for finding verified B2B emails and mobile phone numbers.,API Key (Bearer Token),Paid Tier Gate,"REST API for enriching Person, Company, and Email search queries.",None,Ready Today,None (Ready for Toolkit / MCP - Requires paid credit pack),https://docs.waterfall.io/,8
60,Clay,"6. Data, SEO and Scraping",Data enrichment and AI-powered outbound prospecting spreadsheet platform.,"API Key (Header: 'x-clay-api-key'), Webhook URL",Paid Tier Gate,"REST API for inserting rows, triggering Clay tables, running waterfall enrichments, and webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://library.clay.com/docs/clay-api,9
61,GitHub,"7. Developer, Infra and Data platforms","World-leading code hosting, collaboration, CI/CD (Actions), and version control platform.","OAuth2, Personal Access Token (classic & fine-grained), GitHub App JWT",Self-Serve Free/Trial,"Massive REST API (v3) and GraphQL API (v4) covering Repositories, Issues, Pull Requests, Actions, and Security.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.github.com/en/rest,10
62,Vercel,"7. Developer, Infra and Data platforms",Cloud frontend and full-stack platform for Next.js and web deployments with edge computing.,"Bearer Token (Personal Access Token), OAuth2 (Vercel Integrations)",Self-Serve Free/Trial,"Comprehensive REST API v9 covering Deployments, Projects, Domains, Environment Variables, and DNS.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://vercel.com/docs/rest-api,10
63,Netlify,"7. Developer, Infra and Data platforms","Serverless web hosting, continuous deployment, and modern edge application platform.","Personal Access Token (Bearer), OAuth2",Self-Serve Free/Trial,"OpenAPI-compliant REST API covering Sites, Builds, Deploys, Forms, DNS, and Functions.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.netlify.com/api/get-started/,10
64,Cloudflare,"7. Developer, Infra and Data platforms","Global edge network, DNS, CDN, security (WAF), and serverless compute (Workers/KV/D1).","API Token (Bearer with granular permissions), Global API Key (Legacy)",Self-Serve Free/Trial,"Vast REST API covering DNS Records, Zones, Workers, KV, R2, D1, Firewall Rules, and AI Gateway.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.cloudflare.com/api/,10
65,Supabase,"7. Developer, Infra and Data platforms","Open-source Firebase alternative featuring Postgres database, Auth, Storage, Edge Functions, and Realtime.","API Key (anon / service_role JWT), Management API Personal Access Token, OAuth2",Self-Serve Free/Trial,"Auto-generated PostgREST REST API, GraphQL API, Management REST API, and Realtime WebSocket.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://supabase.com/docs/reference/api/introduction,10
66,Neo4j,"7. Developer, Infra and Data platforms",Leading graph database platform designed to leverage data relationships with Cypher query language.,"Basic Auth (Username + Password), Bearer Token, Aura API Client Credentials",Self-Serve Free/Trial,"Bolt binary protocol (TCP), Cypher Query REST API, and Aura Management REST API.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://neo4j.com/docs/aura/platform/api/overview/,10
67,Snowflake,"7. Developer, Infra and Data platforms",Cloud data warehousing and analytics platform for enterprise data lakes and AI workloads.,"Key-Pair Authentication (JWT / RSA Private Key), OAuth2, Username & Password",Self-Serve Free/Trial,"Snowflake SQL REST API v2, Python/Node Connector SDKs, and Snowpark.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.snowflake.com/en/developer-guide/sql-api/index,9
68,MongoDB Atlas,"7. Developer, Infra and Data platforms","Multi-cloud developer data platform offering managed document database, search, and vector search.","Digest Auth (Public Key + Private Key), API Key (Bearer)",Self-Serve Free/Trial,Atlas Administration REST API v2 and Data API (REST endpoint to query documents directly).,Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://www.mongodb.com/docs/atlas/reference/api-resources-spec/v2/,9
69,Datadog,"7. Developer, Infra and Data platforms","Full-stack observability, monitoring, APM, and security analytics platform for cloud applications.",API Key (Header: DD-API-KEY) + Application Key (Header: DD-APPLICATION-KEY),Self-Serve Free/Trial,"Massive REST APIs (v1 & v2) for Metrics, Logs, Traces, Monitors, Dashboards, and Incidents.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.datadoghq.com/api/latest/,9
70,Sentry,"7. Developer, Infra and Data platforms",Application performance monitoring and error tracking platform for developers.,"Auth Token (Bearer Token), DSN Key, Internal Integration Key",Self-Serve Free/Trial,"Comprehensive REST API covering Issues, Events, Projects, Releases, Teams, and Alerts.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://docs.sentry.io/api/,10
71,Notion,8. Productivity and Project Management,"Connected workspace for notes, documentation, project management, and knowledge databases.","OAuth2, Internal Integration Secret Token (secret_...)",Self-Serve Free/Trial,"Modern REST API covering Databases, Pages, Blocks, Comments, Users, and Search.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.notion.com/reference/intro,10
72,Airtable,8. Productivity and Project Management,Low-code relational database and app-building platform structured like a spreadsheet.,"Personal Access Token (PAT - pat...) with fine-grained scopes, OAuth2",Self-Serve Free/Trial,"Dynamic, auto-generated REST API for each Base covering Records, Tables, Views, Fields, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://airtable.com/developers/web/api/introduction,10
73,Linear,8. Productivity and Project Management,"Fast, purposeful issue tracking, sprint planning, and product roadmap tool for engineering teams.","Personal API Key (lin_api_...), OAuth2 (PKCE)",Self-Serve Free/Trial,"High-performance GraphQL API with comprehensive coverage of Issues, Projects, Cycles, Teams, and Webhooks.",Official MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.linear.app/docs/graphql/working-with-the-graphql-api,10
74,Jira,8. Productivity and Project Management,Enterprise agile project and issue management platform by Atlassian.,"OAuth2 (3LO - 3-legged OAuth), API Token (HTTP Basic Auth: email + api_token)",Self-Serve Free/Trial,"Comprehensive REST API v3 with complete coverage of Issues, JQL Search, Projects, Boards, and Sprints.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/,9
75,Asana,8. Productivity and Project Management,Work management and team project collaboration platform for tracking cross-functional initiatives.,"Personal Access Token (PAT), OAuth2",Self-Serve Free/Trial,"Clean REST API covering Tasks, Projects, Portfolios, Custom Fields, Sections, and Webhooks.",Community MCP,Ready Today,None (Ready for Toolkit / MCP),https://developers.asana.com/docs/overview,10
